city,country,x1,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x28,x29,x33,x34,x35,x36,x38,x39,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,weekly_groceries,latitude,longitude
Rotterdam,Netherlands,16.1,1.07,1.86,1.94,2.41,11.1,8.82,26.11,2.75,1.39,1.47,2.61,1.12,0.94,0.83,0.9,6.22,1.25,1.78,4.15,83.1,2.2,25967.42,28834.48,233.29,43.11,30.05,66.65,37.26,90.73,97.64,1371.25,1024.96,1965.85,1589.84,4878.55,3123.17,3122.24,2.36,88.89,51.9244424,4.47775
Stuttgart,Germany,12.46,1.18,2.01,2.26,2.85,13.41,8.09,12.91,2.19,1.66,2.41,2.12,1.99,1.35,1.26,0.65,5.19,0.66,1.59,2.86,74.99,2.21,23890.02,25030.86,236.12,34.73,44.79,80.67,31.75,69.46,109.71,1038.7,850.45,1858.92,1350.31,8620.27,6241.82,3280.17,2.61,74.64999999999999,48.7784485,9.1800132
Glasgow,United Kingdom,18.02,1.15,1.25,1.36,2.51,7.51,7.15,11.42,2.13,1.16,1.9,2.14,1.1,1.01,0.92,1.06,8.41,1.91,2.44,3.0,96.09,1.93,28828.24,30544.21,220.06,34.72,32.56,75.07,31.53,82.58,74.32,945.27,725.89,1677.89,1204.34,5527.92,2819.76,2907.47,3.57,72.11,55.8609825,-4.2488787
Gothenburg,Sweden,11.43,1.27,2.31,2.53,3.14,8.79,8.87,15.16,2.67,2.1,2.38,3.13,1.26,1.27,2.13,1.42,8.57,1.76,1.88,3.33,77.64,1.93,24291.61,24359.65,115.22,29.76,32.8,85.98,33.96,87.64,119.35,1032.11,750.94,1514.15,1060.12,5976.82,3815.66,2773.23,2.6,80.19000000000001,57.7072326,11.9670171
Leipzig,Germany,9.35,1.05,1.52,1.72,2.26,11.9,8.03,13.16,2.3,1.67,1.99,1.38,1.31,0.95,1.21,0.47,4.67,0.6,1.4,3.12,84.13,2.26,24928.72,22505.09,235.5,38.81,28.97,64.55,44.14,78.13,84.58,573.23,400.48,1404.32,969.88,6232.18,2665.99,2199.44,1.87,65.53999999999999,51.3406321,12.3747329
Dortmund,Germany,12.46,1.0,2.18,2.24,3.63,12.88,7.71,17.66,2.83,1.64,2.37,0.82,2.0,0.92,1.82,0.9,5.19,0.55,1.55,3.11,72.71,2.29,25967.42,25967.42,291.44,36.96,25.37,89.33,38.95,76.17,112.53,690.73,380.86,1506.11,830.96,3531.57,2389.0,2608.61,2.5,78.8,51.5142273,7.4652789
Genoa,Italy,15.58,1.55,2.46,2.48,3.26,15.58,9.22,19.44,2.08,2.09,2.61,2.51,1.44,1.4,1.0,0.68,7.27,1.84,2.67,1.56,47.78,2.16,25967.42,29429.74,149.44,30.63,52.35,79.59,37.39,90.89,120.62,669.96,484.03,1038.7,830.96,3341.14,1246.44,1393.15,2.19,92.49000000000001,44.40726,8.9338624
Malaga,Spain,10.39,0.81,1.02,1.27,2.36,11.17,6.54,12.09,1.58,1.32,1.18,1.51,0.97,1.03,0.98,0.7,4.15,1.0,1.72,1.45,41.5,1.82,25967.42,23786.15,126.57,34.41,44.66,79.2,32.64,73.45,96.45,731.81,604.18,1136.07,948.05,3670.06,2311.1,1741.14,2.17,60.07,36.7213028,-4.4216366
Bristol,United Kingdom,18.02,1.29,1.27,1.8,2.56,6.58,6.64,9.24,2.32,1.52,2.59,2.91,1.68,1.14,0.87,1.21,9.61,2.1,2.77,3.0,100.18,1.92,26723.18,26726.18,255.74,40.49,35.09,84.08,34.97,75.5,82.44,1311.57,1029.58,2112.97,1621.59,7657.5,4275.96,2785.1,3.31,73.35,51.4538022,-2.5972985
Bremen,Germany,12.46,1.19,1.7,1.93,2.61,14.85,7.33,20.08,2.46,1.65,2.04,0.83,2.21,1.01,1.45,0.51,5.18,0.62,1.63,2.96,70.42,2.25,23890.02,21812.63,219.1,36.35,25.58,82.58,35.66,81.54,103.35,649.19,497.09,1285.39,899.34,4154.79,3064.16,2267.75,2.72,80.11000000000001,53.0758196,8.8071646
Dresden,Germany,10.39,1.0,1.02,2.28,2.43,10.87,7.15,10.38,2.04,1.74,2.4,1.39,1.4,1.1,1.19,0.88,5.71,0.68,1.25,2.6,66.06,2.27,22851.33,25466.76,245.8,32.43,35.61,89.62,47.43,89.03,115.43,569.41,458.76,1125.25,857.5,4331.37,3271.89,2542.74,2.62,64.05000000000001,51.0493286,13.7381437
Manchester,United Kingdom,18.02,1.29,1.36,1.99,2.8,7.08,7.07,9.73,2.32,1.61,2.35,1.76,1.49,1.39,0.84,1.39,9.01,2.08,3.47,3.0,87.74,1.97,27627.06,29374.63,245.93,33.23,31.59,81.29,33.92,74.17,80.7,1110.37,796.56,2098.06,1274.89,4700.68,3086.68,2737.54,2.89,73.58000000000001,53.4794892,-2.2451148
Hannover,Germany,10.39,0.98,2.32,2.07,2.72,9.96,7.72,16.83,3.24,1.71,2.1,1.26,1.62,1.06,1.1,0.49,5.19,0.65,1.71,3.17,72.71,2.29,22851.33,22565.68,228.02,31.81,40.06,80.09,39.47,88.63,118.53,744.4,523.24,1280.97,1046.12,5193.48,3843.18,2626.11,1.96,71.41,52.3744779,9.7385532
Antwerp,Belgium,18.7,1.05,1.97,2.65,3.28,9.01,8.53,14.31,2.46,1.73,2.9,2.73,1.66,1.37,1.14,1.04,7.27,1.9,1.94,2.6,50.9,1.98,25967.42,25187.1,205.85,51.93,44.14,95.79,46.16,85.98,118.8,842.26,694.2,1350.31,1076.21,3226.45,2544.81,2474.18,1.78,83.70000000000002,51.2211097,4.3997081
Lyon,France,15.58,0.95,1.56,1.76,3.5,18.52,14.97,18.91,2.94,2.31,3.29,3.97,1.99,1.64,1.03,0.97,6.23,2.46,2.25,1.97,68.76,2.07,31160.9,21047.46,181.84,38.34,35.75,83.62,34.41,91.75,120.75,825.11,599.91,1617.4,1090.63,5608.96,4089.87,2675.5,1.64,102.58,45.7578137,4.8320114
Sheffield,United Kingdom,13.21,1.24,1.14,1.2,2.5,6.83,6.65,11.41,2.38,1.16,1.71,1.97,1.01,1.01,1.0,1.29,8.41,2.27,3.01,2.58,88.78,1.9,26425.89,26425.89,230.03,36.04,34.59,80.48,30.54,84.08,70.57,817.47,657.37,1695.16,1226.92,5800.69,5380.28,2212.62,3.79,66.39,53.3806626,-1.4702278
Nuremberg,Germany,10.39,0.96,1.62,1.87,2.63,13.23,7.41,12.45,2.47,1.65,2.14,1.49,1.35,1.08,1.09,0.57,4.41,0.7,1.36,2.99,83.1,2.28,23855.75,25759.68,240.26,33.93,29.91,84.91,46.0,78.71,124.5,703.72,474.02,1458.17,964.1,5937.46,4378.22,3005.88,2.04,67.51,49.453872,11.077298
